atten,min_prb_ratio,ue_id,CQI,DRB.RlcSduTransmittedVolumeDL,DRB.UEThpDl,RSRP,timestamp
0,0,3,13,119873.0,120220.0,27,2025-03-03 19:58:29.322124
0,0,3,13,119939.0,120220.0,27,2025-03-03 19:58:30.348368
0,0,3,13,119939.0,120220.0,27,2025-03-03 19:58:31.363042
0,0,3,13,117932.0,118098.0,27,2025-03-03 19:58:32.379319
0,0,3,13,117468.0,117743.0,27,2025-03-03 19:58:33.395285
0,0,3,13,117457.0,117743.0,27,2025-03-03 19:58:34.411303
0,0,3,13,117391.0,117733.0,27,2025-03-03 19:58:35.435702
0,0,3,13,116034.0,116227.0,27,2025-03-03 19:58:36.450255
0,0,3,13,115527.0,115759.0,27,2025-03-03 19:58:37.465987
0,0,3,13,115317.0,115759.0,27,2025-03-03 19:58:38.482251
0,0,3,13,115549.0,115748.0,27,2025-03-03 19:58:39.497959
0,0,3,13,115482.0,115759.0,27,2025-03-03 19:58:40.522490
0,0,3,13,113673.0,114017.0,27,2025-03-03 19:58:41.540473
0,0,3,13,113044.0,113179.0,27,2025-03-03 19:58:42.559594
0,0,3,13,112835.0,113169.0,27,2025-03-03 19:58:43.579385
0,0,3,13,112747.0,113179.0,27,2025-03-03 19:58:44.598831
0,0,3,13,113033.0,113179.0,27,2025-03-03 19:58:45.629820
0,0,3,13,111423.0,111877.0,27,2025-03-03 19:58:46.649475
0,0,3,13,110827.0,110901.0,27,2025-03-03 19:58:47.666310
0,0,3,13,110673.0,110911.0,27,2025-03-03 19:58:48.682473
0,0,3,13,110628.0,110911.0,27,2025-03-03 19:58:49.698810
0,0,3,13,110562.0,110911.0,27,2025-03-03 19:58:50.724224
0,0,3,13,109746.0,109862.0,27,2025-03-03 19:58:51.739917
0,0,3,13,108279.0,108724.0,27,2025-03-03 19:58:52.756294
0,0,3,13,108466.0,108724.0,27,2025-03-03 19:58:53.772967
0,0,3,13,108466.0,108724.0,27,2025-03-03 19:58:54.788836
0,0,3,13,108466.0,108714.0,27,2025-03-03 19:58:55.814181
0,0,3,13,107539.0,107791.0,27,2025-03-03 19:58:56.830416
0,0,3,13,106160.0,106300.0,27,2025-03-03 19:58:57.846104
0,0,3,13,105918.0,106300.0,27,2025-03-03 19:58:58.862307
0,0,3,13,105995.0,106290.0,27,2025-03-03 19:58:59.879141
0,0,3,13,106028.0,106300.0,27,2025-03-03 19:59:00.905342
0,0,3,13,105565.0,105713.0,27,2025-03-03 19:59:01.921315
0,0,3,13,103965.0,104303.0,27,2025-03-03 19:59:02.935139
0,0,3,13,104064.0,104293.0,27,2025-03-03 19:59:03.951938
0,0,3,13,104086.0,104303.0,27,2025-03-03 19:59:04.968392
0,0,3,13,103965.0,104303.0,27,2025-03-03 19:59:05.993443
0,0,3,13,103634.0,103847.0,27,2025-03-03 19:59:07.009111
0,0,3,13,101836.0,102070.0,27,2025-03-03 19:59:08.022922
0,0,3,13,101770.0,102080.0,27,2025-03-03 19:59:09.037185
0,0,3,13,101847.0,102080.0,27,2025-03-03 19:59:10.052030
0,0,3,13,101692.0,102080.0,27,2025-03-03 19:59:11.077771
0,0,3,13,101461.0,101533.0,27,2025-03-03 19:59:12.091733
0,0,3,13,97489.0,97652.0,27,2025-03-03 19:59:13.107772
0,0,3,13,97346.0,97652.0,27,2025-03-03 19:59:14.123877
0,0,3,13,97379.0,97652.0,27,2025-03-03 19:59:15.137681
0,0,3,13,97357.0,97642.0,27,2025-03-03 19:59:16.163046
0,0,3,13,97412.0,97584.0,27,2025-03-03 19:59:17.180036
0,0,3,13,95437.0,95665.0,27,2025-03-03 19:59:18.196110
0,0,3,13,95481.0,95665.0,27,2025-03-03 19:59:19.211817
0,0,3,13,95327.0,95655.0,27,2025-03-03 19:59:20.228383
0,0,3,13,95338.0,95665.0,27,2025-03-03 19:59:21.255828
0,0,3,13,95338.0,95665.0,27,2025-03-03 19:59:22.271526
0,0,3,13,93507.0,93567.0,27,2025-03-03 19:59:23.287754
0,0,3,13,93121.0,93434.0,27,2025-03-03 19:59:24.303696
0,0,3,13,93143.0,93445.0,27,2025-03-03 19:59:25.320242
0,0,3,13,93187.0,93445.0,27,2025-03-03 19:59:26.347434
0,0,3,13,93187.0,93445.0,27,2025-03-03 19:59:27.363755
0,0,3,13,91212.0,91318.0,27,2025-03-03 19:59:28.381595
0,0,3,13,90683.0,90967.0,27,2025-03-03 19:59:29.401017
0,0,3,13,90683.0,90967.0,27,2025-03-03 19:59:30.421341
0,0,3,13,90771.0,90957.0,27,2025-03-03 19:59:31.449135
0,0,3,13,89204.0,89311.0,27,2025-03-03 19:59:32.467969
0,0,3,13,88465.0,88760.0,27,2025-03-03 19:59:33.486084
0,0,3,13,88454.0,88759.0,27,2025-03-03 19:59:34.505170
0,0,3,13,88564.0,88749.0,27,2025-03-03 19:59:35.524225
0,0,3,13,88575.0,88759.0,27,2025-03-03 19:59:36.555491
0,0,3,13,87009.0,87290.0,27,2025-03-03 19:59:37.575192
0,0,3,13,86270.0,86485.0,27,2025-03-03 19:59:38.594922
0,0,3,13,86259.0,86475.0,27,2025-03-03 19:59:39.613813
0,0,3,13,86325.0,86485.0,27,2025-03-03 19:59:40.632931
0,0,3,13,86204.0,86485.0,27,2025-03-03 19:59:41.663857
0,0,3,13,84979.0,85156.0,27,2025-03-03 19:59:42.683462
0,0,3,13,83799.0,84011.0,27,2025-03-03 19:59:43.702340
0,0,3,13,83743.0,84021.0,27,2025-03-03 19:59:44.721630
0,0,3,13,83865.0,84021.0,27,2025-03-03 19:59:45.741101
0,0,3,13,83810.0,84021.0,27,2025-03-03 19:59:46.771529
0,0,3,13,82872.0,83023.0,27,2025-03-03 19:59:47.791626
0,0,3,13,81460.0,81724.0,27,2025-03-03 19:59:48.811107
0,0,3,13,81570.0,81724.0,27,2025-03-03 19:59:49.830606
0,0,3,13,81460.0,81724.0,27,2025-03-03 19:59:50.851169
0,0,3,13,81438.0,81714.0,27,2025-03-03 19:59:51.882625
0,0,3,13,80919.0,81016.0,27,2025-03-03 19:59:52.901736
0,0,3,13,79309.0,79511.0,27,2025-03-03 19:59:53.920604
0,0,3,13,79286.0,79511.0,27,2025-03-03 19:59:54.939904
0,0,3,13,79309.0,79501.0,27,2025-03-03 19:59:55.959063
0,0,3,13,79275.0,79511.0,27,2025-03-03 19:59:56.990476
0,0,3,13,78812.0,79028.0,27,2025-03-03 19:59:58.009603
0,0,3,13,77025.0,77226.0,27,2025-03-03 19:59:59.028858
0,0,3,13,77047.0,77216.0,27,2025-03-03 20:00:00.047979
0,0,3,13,77003.0,77226.0,27,2025-03-03 20:00:01.068286
0,0,3,13,76981.0,77226.0,27,2025-03-03 20:00:02.099206
0,0,3,13,76837.0,76975.0,27,2025-03-03 20:00:03.119095
0,0,3,13,74587.0,74794.0,27,2025-03-03 20:00:04.136770
0,0,3,13,74664.0,74804.0,27,2025-03-03 20:00:05.154770
0,0,3,13,74510.0,74804.0,27,2025-03-03 20:00:06.173059
0,0,3,13,74598.0,74804.0,27,2025-03-03 20:00:07.203856
0,0,3,13,74664.0,74794.0,27,2025-03-03 20:00:08.222862
0,0,3,13,72380.0,72520.0,27,2025-03-03 20:00:09.241238
0,0,3,13,72193.0,72520.0,27,2025-03-03 20:00:10.260019
0,0,3,13,72447.0,72520.0,27,2025-03-03 20:00:11.278760
0,0,3,13,72303.0,72520.0,27,2025-03-03 20:00:12.310314
0,0,3,13,72303.0,72520.0,27,2025-03-03 20:00:13.329646
0,0,3,13,69512.0,69584.0,27,2025-03-03 20:00:14.348379
0,0,3,13,68905.0,69232.0,27,2025-03-03 20:00:15.367274
0,0,3,13,69115.0,69221.0,27,2025-03-03 20:00:16.386355
0,0,3,13,69082.0,69232.0,27,2025-03-03 20:00:17.416778
0,0,3,13,67306.0,67462.0,27,2025-03-03 20:00:18.435552
0,0,3,13,66710.0,66967.0,27,2025-03-03 20:00:19.454260
0,0,3,13,66842.0,66977.0,27,2025-03-03 20:00:20.473474
0,0,3,13,66831.0,66977.0,27,2025-03-03 20:00:21.492729
0,0,3,13,66655.0,66977.0,27,2025-03-03 20:00:22.523095
0,0,3,13,65441.0,65446.0,27,2025-03-03 20:00:23.541902
0,0,3,13,64471.0,64738.0,27,2025-03-03 20:00:24.560455
0,0,3,13,64537.0,64738.0,27,2025-03-03 20:00:25.577297
0,0,3,13,64537.0,64738.0,27,2025-03-03 20:00:26.593617
0,0,3,13,64647.0,64728.0,27,2025-03-03 20:00:27.619717
0,0,3,13,63169.0,63420.0,27,2025-03-03 20:00:28.635955
0,0,3,13,62385.0,62465.0,27,2025-03-03 20:00:29.652123
0,0,3,13,62242.0,62465.0,27,2025-03-03 20:00:30.668289
0,0,3,13,62286.0,62455.0,27,2025-03-03 20:00:31.684889
0,0,3,13,62198.0,62465.0,27,2025-03-03 20:00:32.709545
0,0,3,13,61348.0,61355.0,27,2025-03-03 20:00:33.726065
0,0,3,13,59936.0,60192.0,27,2025-03-03 20:00:34.742386
0,0,3,13,60058.0,60182.0,27,2025-03-03 20:00:35.758619
0,0,3,13,60036.0,60192.0,27,2025-03-03 20:00:36.774819
0,0,3,13,59992.0,60192.0,27,2025-03-03 20:00:37.800393
